period,country,sex,age,agecode,prev
2021 to 2023,Northern Ireland,Male,25 to 29,7,0.872943271825105
2021 to 2023,Northern Ireland,Male,30 to 34,8,0.852182756610626
2021 to 2023,Northern Ireland,Male,35 to 39,9,0.82864961985498
2021 to 2023,Northern Ireland,Male,40 to 44,10,0.800605982996317
2021 to 2023,Northern Ireland,Male,45 to 49,11,0.767366988406056
2021 to 2023,Northern Ireland,Male,50 to 54,12,0.730290875662028
2021 to 2023,Northern Ireland,Male,55 to 59,13,0.69035223386448
2021 to 2023,Northern Ireland,Male,60 to 64,14,0.647252470112727
2021 to 2023,Northern Ireland,Male,65 to 69,15,0.60610959954884
2021 to 2023,Northern Ireland,Male,70 to 74,16,0.562072998191758
2021 to 2023,Northern Ireland,Male,75 to 79,17,0.512873927137063
2021 to 2023,Northern Ireland,Male,80 to 84,18,0.458503155702989
2021 to 2023,Northern Ireland,Male,85 to 89,19,0.401620603020418
2021 to 2023,Northern Ireland,Male,90+,20,0.323499372379133
2021 to 2023,Northern Ireland,Female,<1,1,0.930914392697135
2021 to 2023,Northern Ireland,Female,01 to 04,2,0.926919425281008
2021 to 2023,Northern Ireland,Female,05 to 09,3,0.91671101484154
2021 to 2023,Northern Ireland,Female,10 to 14,4,0.904444575163789
2021 to 2023,Northern Ireland,Female,15 to 19,5,0.885088184586353
2021 to 2023,Northern Ireland,Female,20 to 24,6,0.86168140506671
2021 to 2023,Northern Ireland,Female,25 to 29,7,0.842956364146356
2021 to 2023,Northern Ireland,Female,30 to 34,8,0.823263603570119
2021 to 2023,Northern Ireland,Female,35 to 39,9,0.798263454651083
2021 to 2023,Northern Ireland,Female,40 to 44,10,0.769954942897101
2021 to 2023,Northern Ireland,Female,45 to 49,11,0.732685531123067
2021 to 2023,Northern Ireland,Female,50 to 54,12,0.693274243601847
2021 to 2023,Northern Ireland,Female,55 to 59,13,0.654414363542639
2021 to 2023,Northern Ireland,Female,60 to 64,14,0.614858494653342
2021 to 2023,Northern Ireland,Female,65 to 69,15,0.579798389177665
2021 to 2023,Northern Ireland,Female,70 to 74,16,0.537688092031351
2021 to 2023,Northern Ireland,Female,75 to 79,17,0.482197764868464
2021 to 2023,Northern Ireland,Female,80 to 84,18,0.423679504825432
2021 to 2023,Northern Ireland,Female,85 to 89,19,0.361612714057957
2021 to 2023,Northern Ireland,Female,90+,20,0.291569652369609
2022 to 2024,Northern Ireland,Male,<1,1,0.94075368382839
2022 to 2024,Northern Ireland,Male,01 to 04,2,0.937467471425917
2022 to 2024,Northern Ireland,Male,05 to 09,3,0.929180027695402
2022 to 2024,Northern Ireland,Male,10 to 14,4,0.918876649364623
2022 to 2024,Northern Ireland,Male,15 to 19,5,0.905561407958914
2022 to 2024,Northern Ireland,Male,20 to 24,6,0.888179117766233
2022 to 2024,Northern Ireland,Male,25 to 29,7,0.870015013074629
2022 to 2024,Northern Ireland,Male,30 to 34,8,0.849234668683812
2022 to 2024,Northern Ireland,Male,35 to 39,9,0.825794774778789
2022 to 2024,Northern Ireland,Male,40 to 44,10,0.798790086005645
2022 to 2024,Northern Ireland,Male,45 to 49,11,0.767863866168896
2022 to 2024,Northern Ireland,Male,50 to 54,12,0.733723610081085
2022 to 2024,Northern Ireland,Male,55 to 59,13,0.696876972462362
2022 to 2024,Northern Ireland,Male,60 to 64,14,0.657168418949172
2022 to 2024,Northern Ireland,Male,65 to 69,15,0.617263877719885
2022 to 2024,Northern Ireland,Male,70 to 74,16,0.574636702253374
2022 to 2024,Northern Ireland,Male,75 to 79,17,0.528105126805153
2022 to 2024,Northern Ireland,Male,80 to 84,18,0.47766434319589
2022 to 2024,Northern Ireland,Male,85 to 89,19,0.424699879441107
2022 to 2024,Northern Ireland,Male,90+,20,0.349296707344323
2022 to 2024,Northern Ireland,Female,<1,1,0.925984494646419
2022 to 2024,Northern Ireland,Female,01 to 04,2,0.922452561121119
2022 to 2024,Northern Ireland,Female,05 to 09,3,0.9132838260728
2022 to 2024,Northern Ireland,Female,10 to 14,4,0.902131652376883
2022 to 2024,Northern Ireland,Female,15 to 19,5,0.884063111732785
2022 to 2024,Northern Ireland,Female,20 to 24,6,0.862010113431301
2022 to 2024,Northern Ireland,Female,25 to 29,7,0.844395517813981
2022 to 2024,Northern Ireland,Female,30 to 34,8,0.825769954419548
2022 to 2024,Northern Ireland,Female,35 to 39,9,0.801947453322026
2022 to 2024,Northern Ireland,Female,40 to 44,10,0.774856240213474
2022 to 2024,Northern Ireland,Female,45 to 49,11,0.73904397474965
2022 to 2024,Northern Ireland,Female,50 to 54,12,0.701088170697163
2022 to 2024,Northern Ireland,Female,55 to 59,13,0.663586722810014
2022 to 2024,Northern Ireland,Female,60 to 64,14,0.625336414036116
2022 to 2024,Northern Ireland,Female,65 to 69,15,0.591345119474506
2022 to 2024,Northern Ireland,Female,70 to 74,16,0.550475809034597
2022 to 2024,Northern Ireland,Female,75 to 79,17,0.49662282929813
2022 to 2024,Northern Ireland,Female,80 to 84,18,0.439771635471518
2022 to 2024,Northern Ireland,Female,85 to 89,19,0.379420067810093
2022 to 2024,Northern Ireland,Female,90+,20,0.311051286496499
2011 to 2013,Scotland,Male,<1,1,0.956177925686741
2011 to 2013,Scotland,Male,01 to 04,2,0.952324690869046
2011 to 2013,Scotland,Male,05 to 09,3,0.948983906400679
2011 to 2013,Scotland,Male,10 to 14,4,0.944408865024891
2011 to 2013,Scotland,Male,15 to 19,5,0.934747255378468
2011 to 2013,Scotland,Male,20 to 24,6,0.919570407827912
2011 to 2013,Scotland,Male,25 to 29,7,0.902496755477235
2011 to 2013,Scotland,Male,30 to 34,8,0.881863787586766
2011 to 2013,Scotland,Male,35 to 39,9,0.856105051376958
2011 to 2013,Scotland,Male,40 to 44,10,0.830714957512353
2011 to 2013,Scotland,Male,45 to 49,11,0.802659897484751
2011 to 2013,Scotland,Male,50 to 54,12,0.761536622571667
2011 to 2013,Scotland,Male,55 to 59,13,0.713128939603562
2011 to 2013,Scotland,Male,60 to 64,14,0.655837682025468
2011 to 2013,Scotland,Male,65 to 69,15,0.619024267381151
2011 to 2013,Scotland,Male,70 to 74,16,0.569591865773046
2011 to 2013,Scotland,Male,75 to 79,17,0.509177401966884
2011 to 2013,Scotland,Male,80 to 84,18,0.445220872128415
2011 to 2013,Scotland,Male,85 to 89,19,0.383280918001928
2011 to 2013,Scotland,Male,90+,20,0.353204629551417
2011 to 2013,Scotland,Female,<1,1,0.94014941823009
2011 to 2013,Scotland,Female,01 to 04,2,0.938397682197335
2011 to 2013,Scotland,Female,05 to 09,3,0.933522393800663
2011 to 2013,Scotland,Female,10 to 14,4,0.925325493256097
2011 to 2013,Scotland,Female,15 to 19,5,0.912581220459192
2011 to 2013,Scotland,Female,20 to 24,6,0.897557052463911
2011 to 2013,Scotland,Female,25 to 29,7,0.880586291728899
2011 to 2013,Scotland,Female,30 to 34,8,0.860851378665642
2011 to 2013,Scotland,Female,35 to 39,9,0.837594066220845
2011 to 2013,Scotland,Female,40 to 44,10,0.811450553613323
2011 to 2013,Scotland,Female,45 to 49,11,0.782457821111356
2011 to 2013,Scotland,Female,50 to 54,12,0.749753341278201
2011 to 2013,Scotland,Female,55 to 59,13,0.714516102885985
2011 to 2013,Scotland,Female,60 to 64,14,0.678844036551656
2011 to 2013,Scotland,Female,65 to 69,15,0.638192966460774
2011 to 2013,Scotland,Female,70 to 74,16,0.592511218456594
2011 to 2013,Scotland,Female,75 to 79,17,0.54220202975418
2011 to 2013,Scotland,Female,80 to 84,18,0.489039199057019
2011 to 2013,Scotland,Female,85 to 89,19,0.435123402421784
2011 to 2013,Scotland,Female,90+,20,0.363553444557834
2012 to 2014,Scotland,Male,<1,1,0.954560862151538
2012 to 2014,Scotland,Male,01 to 04,2,0.95079675740666
2012 to 2014,Scotland,Male,05 to 09,3,0.947181926826526
2012 to 2014,Scotland,Male,10 to 14,4,0.941924674028811
2012 to 2014,Scotland,Male,15 to 19,5,0.931864123147783
2012 to 2014,Scotland,Male,20 to 24,6,0.916281434955944
2012 to 2014,Scotland,Male,25 to 29,7,0.899718058613743
2012 to 2014,Scotland,Male,30 to 34,8,0.880138024053011
2012 to 2014,Scotland,Male,35 to 39,9,0.856350139643116
2012 to 2014,Scotland,Male,40 to 44,10,0.831424674064533
2012 to 2014,Scotland,Male,45 to 49,11,0.803207099929972
2012 to 2014,Scotland,Male,50 to 54,12,0.76465294787909
2012 to 2014,Scotland,Male,55 to 59,13,0.719766144147337
2012 to 2014,Scotland,Male,60 to 64,14,0.666838066445772
2012 to 2014,Scotland,Male,65 to 69,15,0.630003207090417
2012 to 2014,Scotland,Male,70 to 74,16,0.583206495372984
2012 to 2014,Scotland,Male,75 to 79,17,0.526412783166401
2012 to 2014,Scotland,Male,80 to 84,18,0.464649377414508
2012 to 2014,Scotland,Male,85 to 89,19,0.40385675249516
2012 to 2014,Scotland,Male,90+,20,0.364158762728981
2012 to 2014,Scotland,Female,<1,1,0.943156404748609
2012 to 2014,Scotland,Female,01 to 04,2,0.941103138874494
2012 to 2014,Scotland,Female,05 to 09,3,0.935781117299336
2012 to 2014,Scotland,Female,10 to 14,4,0.927016635467109
2012 to 2014,Scotland,Female,15 to 19,5,0.913287193943021
2012 to 2014,Scotland,Female,20 to 24,6,0.897538658460536
2012 to 2014,Scotland,Female,25 to 29,7,0.88019668740208
2012 to 2014,Scotland,Female,30 to 34,8,0.860124789876257
2012 to 2014,Scotland,Female,35 to 39,9,0.836565493287073
2012 to 2014,Scotland,Female,40 to 44,10,0.810077295737013
2012 to 2014,Scotland,Female,45 to 49,11,0.780714972455531
2012 to 2014,Scotland,Female,50 to 54,12,0.747611417237459
2012 to 2014,Scotland,Female,55 to 59,13,0.712112219305587
2012 to 2014,Scotland,Female,60 to 64,14,0.676240523688692
2012 to 2014,Scotland,Female,65 to 69,15,0.635661556529885
2012 to 2014,Scotland,Female,70 to 74,16,0.589965009168888
2012 to 2014,Scotland,Female,75 to 79,17,0.539088967263523
2012 to 2014,Scotland,Female,80 to 84,18,0.484975102577913
2012 to 2014,Scotland,Female,85 to 89,19,0.430303945902297
2012 to 2014,Scotland,Female,90+,20,0.358979871933094
2013 to 2015,Scotland,Male,<1,1,0.95279888334762
2013 to 2015,Scotland,Male,01 to 04,2,0.949398902685685
2013 to 2015,Scotland,Male,05 to 09,3,0.945800170639664
2013 to 2015,Scotland,Male,10 to 14,4,0.940187163291699
2013 to 2015,Scotland,Male,15 to 19,5,0.930081102720253
2013 to 2015,Scotland,Male,20 to 24,6,0.914626420737603
2013 to 2015,Scotland,Male,25 to 29,7,0.898633020873713
2013 to 2015,Scotland,Male,30 to 34,8,0.879970966899704
2013 to 2015,Scotland,Male,35 to 39,9,0.857782470685573
2013 to 2015,Scotland,Male,40 to 44,10,0.833325491201706
2013 to 2015,Scotland,Male,45 to 49,11,0.80517957612816
2013 to 2015,Scotland,Male,50 to 54,12,0.769017325321355
2013 to 2015,Scotland,Male,55 to 59,13,0.727382836276707
2013 to 2015,Scotland,Male,60 to 64,14,0.678622037793109
2013 to 2015,Scotland,Male,65 to 69,15,0.641668653754646
2013 to 2015,Scotland,Male,70 to 74,16,0.596997261759775
2013 to 2015,Scotland,Male,75 to 79,17,0.543481603720477
2013 to 2015,Scotland,Male,80 to 84,18,0.484199681566548
2013 to 2015,Scotland,Male,85 to 89,19,0.424903146395436
2013 to 2015,Scotland,Male,90+,20,0.376216910943193
2013 to 2015,Scotland,Female,<1,1,0.93962684725727
2013 to 2015,Scotland,Female,01 to 04,2,0.9374882209055
2013 to 2015,Scotland,Female,05 to 09,3,0.932271083439926
2013 to 2015,Scotland,Female,10 to 14,4,0.923588319126989
2013 to 2015,Scotland,Female,15 to 19,5,0.909530424187097
2013 to 2015,Scotland,Female,20 to 24,6,0.893815040265488
2013 to 2015,Scotland,Female,25 to 29,7,0.876972053830041
2013 to 2015,Scotland,Female,30 to 34,8,0.857493641464337
2013 to 2015,Scotland,Female,35 to 39,9,0.834649232232995
2013 to 2015,Scotland,Female,40 to 44,10,0.808878286588987
2013 to 2015,Scotland,Female,45 to 49,11,0.780256593829973
2013 to 2015,Scotland,Female,50 to 54,12,0.747940813713251
2013 to 2015,Scotland,Female,55 to 59,13,0.713444793133579
2013 to 2015,Scotland,Female,60 to 64,14,0.678626298392077
2013 to 2015,Scotland,Female,65 to 69,15,0.639568131917252
2013 to 2015,Scotland,Female,70 to 74,16,0.595412751931985
2013 to 2015,Scotland,Female,75 to 79,17,0.545502096626957
2013 to 2015,Scotland,Female,80 to 84,18,0.491927346200918
2013 to 2015,Scotland,Female,85 to 89,19,0.43802315020664
2013 to 2015,Scotland,Female,90+,20,0.36919878661565
2014 to 2016,Scotland,Male,<1,1,0.951497726501526
2014 to 2016,Scotland,Male,01 to 04,2,0.948459635219077
2014 to 2016,Scotland,Male,05 to 09,3,0.944836886874096
2014 to 2016,Scotland,Male,10 to 14,4,0.938920532230981
2014 to 2016,Scotland,Male,15 to 19,5,0.928826102830156
2014 to 2016,Scotland,Male,20 to 24,6,0.913668129908986
2014 to 2016,Scotland,Male,25 to 29,7,0.898118467113453
2014 to 2016,Scotland,Male,30 to 34,8,0.880123556446132
2014 to 2016,Scotland,Male,35 to 39,9,0.859083581953304
2014 to 2016,Scotland,Male,40 to 44,10,0.835068246873159
2014 to 2016,Scotland,Male,45 to 49,11,0.807195661519118
2014 to 2016,Scotland,Male,50 to 54,12,0.773073362958008
2014 to 2016,Scotland,Male,55 to 59,13,0.734192073645875
2014 to 2016,Scotland,Male,60 to 64,14,0.689035084093407
2014 to 2016,Scotland,Male,65 to 69,15,0.652162938336802
2014 to 2016,Scotland,Male,70 to 74,16,0.609273896831518
2014 to 2016,Scotland,Male,75 to 79,17,0.558644710685904
2014 to 2016,Scotland,Male,80 to 84,18,0.501966873399745
2014 to 2016,Scotland,Male,85 to 89,19,0.444514922135857
2014 to 2016,Scotland,Male,90+,20,0.389205924345039
2014 to 2016,Scotland,Female,<1,1,0.937711851896415
2014 to 2016,Scotland,Female,01 to 04,2,0.935455230282747
2014 to 2016,Scotland,Female,05 to 09,3,0.930791902544435
2014 to 2016,Scotland,Female,10 to 14,4,0.922561852951635
2014 to 2016,Scotland,Female,15 to 19,5,0.907498837671654
2014 to 2016,Scotland,Female,20 to 24,6,0.891661303449328
2014 to 2016,Scotland,Female,25 to 29,7,0.875903211935321
2014 to 2016,Scotland,Female,30 to 34,8,0.857670752614517
2014 to 2016,Scotland,Female,35 to 39,9,0.836069139374517
2014 to 2016,Scotland,Female,40 to 44,10,0.81146623802413
2014 to 2016,Scotland,Female,45 to 49,11,0.783994305055736
2014 to 2016,Scotland,Female,50 to 54,12,0.752608364652251
2014 to 2016,Scotland,Female,55 to 59,13,0.719533588705303
2014 to 2016,Scotland,Female,60 to 64,14,0.686884698742183
2014 to 2016,Scotland,Female,65 to 69,15,0.650316767706479
2014 to 2016,Scotland,Female,70 to 74,16,0.607986373192589
2014 to 2016,Scotland,Female,75 to 79,17,0.558059909228628
2014 to 2016,Scotland,Female,80 to 84,18,0.503473809305305
2014 to 2016,Scotland,Female,85 to 89,19,0.449599186557762
2014 to 2016,Scotland,Female,90+,20,0.386349078410474
2015 to 2017,Scotland,Male,<1,1,0.956281134360484
2015 to 2017,Scotland,Male,01 to 04,2,0.952860646858743
2015 to 2017,Scotland,Male,05 to 09,3,0.948722702456932
2015 to 2017,Scotland,Male,10 to 14,4,0.94214961809744
2015 to 2017,Scotland,Male,15 to 19,5,0.931319180382305
2015 to 2017,Scotland,Male,20 to 24,6,0.915139693807885
2015 to 2017,Scotland,Male,25 to 29,7,0.899145381826719
2015 to 2017,Scotland,Male,30 to 34,8,0.88091560083437
2015 to 2017,Scotland,Male,35 to 39,9,0.859923131570721
2015 to 2017,Scotland,Male,40 to 44,10,0.835345444123358
2015 to 2017,Scotland,Male,45 to 49,11,0.806528916166164
2015 to 2017,Scotland,Male,50 to 54,12,0.77206193059044
2015 to 2017,Scotland,Male,55 to 59,13,0.732940237481168
2015 to 2017,Scotland,Male,60 to 64,14,0.687437774032837
2015 to 2017,Scotland,Male,65 to 69,15,0.649794232173588
2015 to 2017,Scotland,Male,70 to 74,16,0.606731288718865
2015 to 2017,Scotland,Male,75 to 79,17,0.555713229108488
2015 to 2017,Scotland,Male,80 to 84,18,0.497723971476809
2015 to 2017,Scotland,Male,85 to 89,19,0.438766544787341
2015 to 2017,Scotland,Male,90+,20,0.380447054460548
2015 to 2017,Scotland,Female,<1,1,0.930633768840449
2015 to 2017,Scotland,Female,01 to 04,2,0.927833850125602
2015 to 2017,Scotland,Female,05 to 09,3,0.923051781711243
2015 to 2017,Scotland,Female,10 to 14,4,0.914461734036469
2015 to 2017,Scotland,Female,15 to 19,5,0.897170747381513
2015 to 2017,Scotland,Female,20 to 24,6,0.880343733944993
2015 to 2017,Scotland,Female,25 to 29,7,0.865260617877886
2015 to 2017,Scotland,Female,30 to 34,8,0.84793791679288
2015 to 2017,Scotland,Female,35 to 39,9,0.82739015510492
2015 to 2017,Scotland,Female,40 to 44,10,0.803740357104806
2015 to 2017,Scotland,Female,45 to 49,11,0.777199479039775
2015 to 2017,Scotland,Female,50 to 54,12,0.746596642406976
2015 to 2017,Scotland,Female,55 to 59,13,0.714996969667393
2015 to 2017,Scotland,Female,60 to 64,14,0.684463532220039
2015 to 2017,Scotland,Female,65 to 69,15,0.650960768315732
2015 to 2017,Scotland,Female,70 to 74,16,0.611145073515101
2015 to 2017,Scotland,Female,75 to 79,17,0.561295340351767
2015 to 2017,Scotland,Female,80 to 84,18,0.505266925733911
2015 to 2017,Scotland,Female,85 to 89,19,0.451106335696276
2015 to 2017,Scotland,Female,90+,20,0.394099397801216
2016 to 2018,Scotland,Male,<1,1,0.952188077543126
2016 to 2018,Scotland,Male,01 to 04,2,0.948806172034632
2016 to 2018,Scotland,Male,05 to 09,3,0.944275686157437
2016 to 2018,Scotland,Male,10 to 14,4,0.937113755852167
2016 to 2018,Scotland,Male,15 to 19,5,0.925866879795893
2016 to 2018,Scotland,Male,20 to 24,6,0.909436164910924
2016 to 2018,Scotland,Male,25 to 29,7,0.893241173218862
2016 to 2018,Scotland,Male,30 to 34,8,0.874919761295821
2016 to 2018,Scotland,Male,35 to 39,9,0.854083398499309
2016 to 2018,Scotland,Male,40 to 44,10,0.829295770361009
2016 to 2018,Scotland,Male,45 to 49,11,0.800189349127809
2016 to 2018,Scotland,Male,50 to 54,12,0.766373179432103
2016 to 2018,Scotland,Male,55 to 59,13,0.728285615514438
2016 to 2018,Scotland,Male,60 to 64,14,0.684285571679709
2016 to 2018,Scotland,Male,65 to 69,15,0.646220841123379
2016 to 2018,Scotland,Male,70 to 74,16,0.603641450789768
2016 to 2018,Scotland,Male,75 to 79,17,0.553719659321247
2016 to 2018,Scotland,Male,80 to 84,18,0.496708226810552
2016 to 2018,Scotland,Male,85 to 89,19,0.438314962337518
2016 to 2018,Scotland,Male,90+,20,0.375753259684336
2016 to 2018,Scotland,Female,<1,1,0.925585892637431
2016 to 2018,Scotland,Female,01 to 04,2,0.922352667185728
2016 to 2018,Scotland,Female,05 to 09,3,0.917719717274381
2016 to 2018,Scotland,Female,10 to 14,4,0.908861550651343
2016 to 2018,Scotland,Female,15 to 19,5,0.889161536568125
2016 to 2018,Scotland,Female,20 to 24,6,0.871184974240938
2016 to 2018,Scotland,Female,25 to 29,7,0.85667300366304
2016 to 2018,Scotland,Female,30 to 34,8,0.840026218224387
2016 to 2018,Scotland,Female,35 to 39,9,0.820315996569967
2016 to 2018,Scotland,Female,40 to 44,10,0.797213513528277
2016 to 2018,Scotland,Female,45 to 49,11,0.77102048806516
2016 to 2018,Scotland,Female,50 to 54,12,0.740602077781279
2016 to 2018,Scotland,Female,55 to 59,13,0.709815165503496
2016 to 2018,Scotland,Female,60 to 64,14,0.680184494217646
2016 to 2018,Scotland,Female,65 to 69,15,0.649089232051456
2016 to 2018,Scotland,Female,70 to 74,16,0.611308276793183
2016 to 2018,Scotland,Female,75 to 79,17,0.560652651483141
2016 to 2018,Scotland,Female,80 to 84,18,0.501734735482972
2016 to 2018,Scotland,Female,85 to 89,19,0.44549620881268
2016 to 2018,Scotland,Female,90+,20,0.391695361651345
2017 to 2019,Scotland,Male,<1,1,0.946698759047718
2017 to 2019,Scotland,Male,01 to 04,2,0.943421753709728
2017 to 2019,Scotland,Male,05 to 09,3,0.938320605982727
2017 to 2019,Scotland,Male,10 to 14,4,0.930438069415456
2017 to 2019,Scotland,Male,15 to 19,5,0.918805360334753
2017 to 2019,Scotland,Male,20 to 24,6,0.902446073352318
2017 to 2019,Scotland,Male,25 to 29,7,0.886079889474211
2017 to 2019,Scotland,Male,30 to 34,8,0.867655149978234
2017 to 2019,Scotland,Male,35 to 39,9,0.846916729533964
2017 to 2019,Scotland,Male,40 to 44,10,0.822202858086809
2017 to 2019,Scotland,Male,45 to 49,11,0.793371019929532
2017 to 2019,Scotland,Male,50 to 54,12,0.760726587846566
2017 to 2019,Scotland,Male,55 to 59,13,0.724301640588368
2017 to 2019,Scotland,Male,60 to 64,14,0.682699082477423
2017 to 2019,Scotland,Male,65 to 69,15,0.644870714084626
2017 to 2019,Scotland,Male,70 to 74,16,0.603379334951591
2017 to 2019,Scotland,Male,75 to 79,17,0.555537917769028
2017 to 2019,Scotland,Male,80 to 84,18,0.501103560634641
2017 to 2019,Scotland,Male,85 to 89,19,0.444935673117581
2017 to 2019,Scotland,Male,90+,20,0.379644340921231
2017 to 2019,Scotland,Female,<1,1,0.936574730103505
2017 to 2019,Scotland,Female,01 to 04,2,0.93264048971194
2017 to 2019,Scotland,Female,05 to 09,3,0.926978705990801
2017 to 2019,Scotland,Female,10 to 14,4,0.916560869738239
2017 to 2019,Scotland,Female,15 to 19,5,0.894096159793226
2017 to 2019,Scotland,Female,20 to 24,6,0.87400530635165
2017 to 2019,Scotland,Female,25 to 29,7,0.858273231105349
2017 to 2019,Scotland,Female,30 to 34,8,0.840339213252714
2017 to 2019,Scotland,Female,35 to 39,9,0.819549354895187
2017 to 2019,Scotland,Female,40 to 44,10,0.795041311583539
2017 to 2019,Scotland,Female,45 to 49,11,0.767173533617011
2017 to 2019,Scotland,Female,50 to 54,12,0.735102213086648
2017 to 2019,Scotland,Female,55 to 59,13,0.702916984830378
2017 to 2019,Scotland,Female,60 to 64,14,0.671096804035306
2017 to 2019,Scotland,Female,65 to 69,15,0.639472507767771
2017 to 2019,Scotland,Female,70 to 74,16,0.601431126442286
2017 to 2019,Scotland,Female,75 to 79,17,0.548809928531086
2017 to 2019,Scotland,Female,80 to 84,18,0.486245931400762
2017 to 2019,Scotland,Female,85 to 89,19,0.426208511380039
2017 to 2019,Scotland,Female,90+,20,0.368810508838871
2018 to 2020,Scotland,Male,<1,1,0.945494994670555
2018 to 2020,Scotland,Male,01 to 04,2,0.942047801785378
2018 to 2020,Scotland,Male,05 to 09,3,0.936875256929813
2018 to 2020,Scotland,Male,10 to 14,4,0.92888211930599
2018 to 2020,Scotland,Male,15 to 19,5,0.917078043813265
2018 to 2020,Scotland,Male,20 to 24,6,0.900336472184231
2018 to 2020,Scotland,Male,25 to 29,7,0.884020078768883
2018 to 2020,Scotland,Male,30 to 34,8,0.865802490028588
2018 to 2020,Scotland,Male,35 to 39,9,0.845467230561746
2018 to 2020,Scotland,Male,40 to 44,10,0.820763696424705
2018 to 2020,Scotland,Male,45 to 49,11,0.791686550511827
2018 to 2020,Scotland,Male,50 to 54,12,0.759152384090105
2018 to 2020,Scotland,Male,55 to 59,13,0.722889248774585
2018 to 2020,Scotland,Male,60 to 64,14,0.681337989967118
2018 to 2020,Scotland,Male,65 to 69,15,0.643465217492847
2018 to 2020,Scotland,Male,70 to 74,16,0.602287471891815
2018 to 2020,Scotland,Male,75 to 79,17,0.554553686205426
2018 to 2020,Scotland,Male,80 to 84,18,0.499579493390461
2018 to 2020,Scotland,Male,85 to 89,19,0.442788173587709
2018 to 2020,Scotland,Male,90+,20,0.37651408143983
2018 to 2020,Scotland,Female,<1,1,0.931808453928781
2018 to 2020,Scotland,Female,01 to 04,2,0.927508262470135
2018 to 2020,Scotland,Female,05 to 09,3,0.922771832931803
2018 to 2020,Scotland,Female,10 to 14,4,0.91263607741688
2018 to 2020,Scotland,Female,15 to 19,5,0.88712645607861
2018 to 2020,Scotland,Female,20 to 24,6,0.865990014111588
2018 to 2020,Scotland,Female,25 to 29,7,0.85192912100949
2018 to 2020,Scotland,Female,30 to 34,8,0.835801477699401
2018 to 2020,Scotland,Female,35 to 39,9,0.817196640662135
2018 to 2020,Scotland,Female,40 to 44,10,0.794362685228839
2018 to 2020,Scotland,Female,45 to 49,11,0.767804796728257
2018 to 2020,Scotland,Female,50 to 54,12,0.736907543322204
2018 to 2020,Scotland,Female,55 to 59,13,0.70687450936618
2018 to 2020,Scotland,Female,60 to 64,14,0.676864954330772
2018 to 2020,Scotland,Female,65 to 69,15,0.64998992661966
2018 to 2020,Scotland,Female,70 to 74,16,0.616462799566339
2018 to 2020,Scotland,Female,75 to 79,17,0.563857868829635
2018 to 2020,Scotland,Female,80 to 84,18,0.497751844901928
2018 to 2020,Scotland,Female,85 to 89,19,0.435116075598677
2018 to 2020,Scotland,Female,90+,20,0.382719357048378
2019 to 2021,Scotland,Male,<1,1,0.939986923453307
2019 to 2021,Scotland,Male,01 to 04,2,0.93609133354486
2019 to 2021,Scotland,Male,05 to 09,3,0.930427265594798
2019 to 2021,Scotland,Male,10 to 14,4,0.921961201294286
2019 to 2021,Scotland,Male,15 to 19,5,0.909686477551035
2019 to 2021,Scotland,Male,20 to 24,6,0.892283359427695
2019 to 2021,Scotland,Male,25 to 29,7,0.875958698564673
2019 to 2021,Scotland,Male,30 to 34,8,0.858024344169112
2019 to 2021,Scotland,Male,35 to 39,9,0.838297607467406
2019 to 2021,Scotland,Male,40 to 44,10,0.813838532358524
2019 to 2021,Scotland,Male,45 to 49,11,0.784785709959364
2019 to 2021,Scotland,Male,50 to 54,12,0.752726616695931
2019 to 2021,Scotland,Male,55 to 59,13,0.717061387701238
2019 to 2021,Scotland,Male,60 to 64,14,0.676011571787373
2019 to 2021,Scotland,Male,65 to 69,15,0.638841507400006
2019 to 2021,Scotland,Male,70 to 74,16,0.598824592808927
2019 to 2021,Scotland,Male,75 to 79,17,0.552014969619411
2019 to 2021,Scotland,Male,80 to 84,18,0.497243007134074
2019 to 2021,Scotland,Male,85 to 89,19,0.440694957266565
2019 to 2021,Scotland,Male,90+,20,0.375374939528171
2019 to 2021,Scotland,Female,<1,1,0.916224526962038
2019 to 2021,Scotland,Female,01 to 04,2,0.911504399396502
2019 to 2021,Scotland,Female,05 to 09,3,0.907748397707159
2019 to 2021,Scotland,Female,10 to 14,4,0.897871441539341
2019 to 2021,Scotland,Female,15 to 19,5,0.86907584135935
2019 to 2021,Scotland,Female,20 to 24,6,0.846913956094301
2019 to 2021,Scotland,Female,25 to 29,7,0.834864968345895
2019 to 2021,Scotland,Female,30 to 34,8,0.820920788755903
2019 to 2021,Scotland,Female,35 to 39,9,0.805095713159156
2019 to 2021,Scotland,Female,40 to 44,10,0.784480547652002
2019 to 2021,Scotland,Female,45 to 49,11,0.759745121859974
2019 to 2021,Scotland,Female,50 to 54,12,0.730700406709704
2019 to 2021,Scotland,Female,55 to 59,13,0.703633780107345
2019 to 2021,Scotland,Female,60 to 64,14,0.675774252899318
2019 to 2021,Scotland,Female,65 to 69,15,0.65490668496409
2019 to 2021,Scotland,Female,70 to 74,16,0.627545084507248
2019 to 2021,Scotland,Female,75 to 79,17,0.576207216185596
2019 to 2021,Scotland,Female,80 to 84,18,0.507239938297302
2019 to 2021,Scotland,Female,85 to 89,19,0.442487383213894
2019 to 2021,Scotland,Female,90+,20,0.395663694525148
