period,country,sex,age,agecode,hle,prop
2016 to 2018,England,Female,45 to 49,11,25,64
2016 to 2018,England,Female,50 to 54,12,21.3,62
2016 to 2018,England,Female,55 to 59,13,17.8,59
2016 to 2018,England,Female,60 to 64,14,14.5,57
2016 to 2018,England,Female,65 to 69,15,11.4,54
2016 to 2018,England,Female,70 to 74,16,8.7,51
2016 to 2018,England,Female,75 to 79,17,6.2,47
2016 to 2018,England,Female,80 to 84,18,4.2,43
2016 to 2018,England,Female,85 to 89,19,2.6,38
2016 to 2018,England,Female,90+,20,1.6,35
2017 to 2019,England,Male,<1,1,63.2,79
2017 to 2019,England,Male,01 to 04,2,62.5,79
2017 to 2019,England,Male,05 to 09,3,58.8,78
2017 to 2019,England,Male,10 to 14,4,54.1,77
2017 to 2019,England,Male,15 to 19,5,49.5,76
2017 to 2019,England,Male,20 to 24,6,44.9,75
2017 to 2019,England,Male,25 to 29,7,40.5,73
2017 to 2019,England,Male,30 to 34,8,36.2,72
2017 to 2019,England,Male,35 to 39,9,31.9,70
2017 to 2019,England,Male,40 to 44,10,27.8,68
2017 to 2019,England,Male,45 to 49,11,23.9,66
2017 to 2019,England,Male,50 to 54,12,20.1,64
2017 to 2019,England,Male,55 to 59,13,16.6,61
2017 to 2019,England,Male,60 to 64,14,13.4,59
2017 to 2019,England,Male,65 to 69,15,10.5,56
2017 to 2019,England,Male,70 to 74,16,7.9,53
2017 to 2019,England,Male,75 to 79,17,5.7,49
2017 to 2019,England,Male,80 to 84,18,3.8,45
2017 to 2019,England,Male,85 to 89,19,2.4,40
2017 to 2019,England,Male,90+,20,1.5,36
2017 to 2019,England,Female,<1,1,63.7,77
2017 to 2019,England,Female,01 to 04,2,63,76
2017 to 2019,England,Female,05 to 09,3,59.3,75
2017 to 2019,England,Female,10 to 14,4,54.7,74
2017 to 2019,England,Female,15 to 19,5,50.1,73
2017 to 2019,England,Female,20 to 24,6,45.7,72
2017 to 2019,England,Female,25 to 29,7,41.3,70
2017 to 2019,England,Female,30 to 34,8,37,69
2017 to 2019,England,Female,35 to 39,9,32.8,67
2017 to 2019,England,Female,40 to 44,10,28.8,65
2017 to 2019,England,Female,45 to 49,11,24.9,63
2017 to 2019,England,Female,50 to 54,12,21.2,61
2017 to 2019,England,Female,55 to 59,13,17.7,59
2017 to 2019,England,Female,60 to 64,14,14.5,57
2017 to 2019,England,Female,65 to 69,15,11.4,54
2017 to 2019,England,Female,70 to 74,16,8.7,51
2017 to 2019,England,Female,75 to 79,17,6.2,47
2017 to 2019,England,Female,80 to 84,18,4.2,42
2017 to 2019,England,Female,85 to 89,19,2.6,38
2017 to 2019,England,Female,90+,20,1.6,34
2018 to 2020,England,Male,<1,1,63.1,80
2018 to 2020,England,Male,01 to 04,2,62.4,79
2018 to 2020,England,Male,05 to 09,3,58.6,79
2018 to 2020,England,Male,10 to 14,4,54,77
2018 to 2020,England,Male,15 to 19,5,49.3,76
2018 to 2020,England,Male,20 to 24,6,44.8,75
2018 to 2020,England,Male,25 to 29,7,40.4,74
2018 to 2020,England,Male,30 to 34,8,36.1,72
2018 to 2020,England,Male,35 to 39,9,31.8,70
2018 to 2020,England,Male,40 to 44,10,27.7,68
2018 to 2020,England,Male,45 to 49,11,23.8,66
2018 to 2020,England,Male,50 to 54,12,20.1,64
2018 to 2020,England,Male,55 to 59,13,16.6,62
2018 to 2020,England,Male,60 to 64,14,13.4,59
2018 to 2020,England,Male,65 to 69,15,10.5,56
2018 to 2020,England,Male,70 to 74,16,7.9,53
2018 to 2020,England,Male,75 to 79,17,5.6,49
2018 to 2020,England,Male,80 to 84,18,3.8,45
2018 to 2020,England,Male,85 to 89,19,2.4,40
2018 to 2020,England,Male,90+,20,1.4,36
2018 to 2020,England,Female,<1,1,64,77
2018 to 2020,England,Female,01 to 04,2,63.3,77
2018 to 2020,England,Female,05 to 09,3,59.6,76
2018 to 2020,England,Female,10 to 14,4,55,75
2018 to 2020,England,Female,15 to 19,5,50.4,74
2018 to 2020,England,Female,20 to 24,6,46,72
2018 to 2020,England,Female,25 to 29,7,41.7,71
2018 to 2020,England,Female,30 to 34,8,37.4,70
2018 to 2020,England,Female,35 to 39,9,33.2,68
2018 to 2020,England,Female,40 to 44,10,29.1,66
2018 to 2020,England,Female,45 to 49,11,25.2,65
2018 to 2020,England,Female,50 to 54,12,21.5,63
2018 to 2020,England,Female,55 to 59,13,18.1,61
2018 to 2020,England,Female,60 to 64,14,14.8,58
2018 to 2020,England,Female,65 to 69,15,11.7,56
2018 to 2020,England,Female,70 to 74,16,8.9,52
2018 to 2020,England,Female,75 to 79,17,6.3,48
2018 to 2020,England,Female,80 to 84,18,4.2,44
2018 to 2020,England,Female,85 to 89,19,2.7,39
2018 to 2020,England,Female,90+,20,1.6,36
2019 to 2021,England,Male,<1,1,62.7,79
2019 to 2021,England,Male,01 to 04,2,62.1,79
2019 to 2021,England,Male,05 to 09,3,58.3,78
2019 to 2021,England,Male,10 to 14,4,53.7,77
2019 to 2021,England,Male,15 to 19,5,49,76
2019 to 2021,England,Male,20 to 24,6,44.5,75
2019 to 2021,England,Male,25 to 29,7,40.1,73
2019 to 2021,England,Male,30 to 34,8,35.8,72
2019 to 2021,England,Male,35 to 39,9,31.6,70
2019 to 2021,England,Male,40 to 44,10,27.5,68
2019 to 2021,England,Male,45 to 49,11,23.6,66
2019 to 2021,England,Male,50 to 54,12,19.9,64
2019 to 2021,England,Male,55 to 59,13,16.5,62
2019 to 2021,England,Male,60 to 64,14,13.3,59
2019 to 2021,England,Male,65 to 69,15,10.4,56
2019 to 2021,England,Male,70 to 74,16,7.9,53
2019 to 2021,England,Male,75 to 79,17,5.6,50
2019 to 2021,England,Male,80 to 84,18,3.7,45
2019 to 2021,England,Male,85 to 89,19,2.3,40
2019 to 2021,England,Male,90+,20,1.4,36
2019 to 2021,England,Female,<1,1,63.7,77
2019 to 2021,England,Female,01 to 04,2,63,77
2019 to 2021,England,Female,05 to 09,3,59.3,76
2019 to 2021,England,Female,10 to 14,4,54.7,75
2019 to 2021,England,Female,15 to 19,5,50.1,73
2019 to 2021,England,Female,20 to 24,6,45.7,72
2019 to 2021,England,Female,25 to 29,7,41.4,71
2019 to 2021,England,Female,30 to 34,8,37.2,69
2019 to 2021,England,Female,35 to 39,9,33,68
2019 to 2021,England,Female,40 to 44,10,29,66
2019 to 2021,England,Female,45 to 49,11,25.1,64
2019 to 2021,England,Female,50 to 54,12,21.5,63
2019 to 2021,England,Female,55 to 59,13,18,60
2019 to 2021,England,Female,60 to 64,14,14.7,58
2019 to 2021,England,Female,65 to 69,15,11.7,56
2019 to 2021,England,Female,70 to 74,16,8.9,53
2019 to 2021,England,Female,75 to 79,17,6.4,49
2019 to 2021,England,Female,80 to 84,18,4.2,44
2019 to 2021,England,Female,85 to 89,19,2.7,39
2019 to 2021,England,Female,90+,20,1.6,35
2020 to 2022,England,Male,<1,1,62.3,79
2020 to 2022,England,Male,01 to 04,2,61.6,79
2020 to 2022,England,Male,05 to 09,3,57.9,78
2020 to 2022,England,Male,10 to 14,4,53.2,77
2020 to 2022,England,Male,15 to 19,5,48.6,76
2020 to 2022,England,Male,20 to 24,6,44.1,74
2020 to 2022,England,Male,25 to 29,7,39.7,73
2020 to 2022,England,Male,30 to 34,8,35.4,71
2020 to 2022,England,Male,35 to 39,9,31.2,70
2020 to 2022,England,Male,40 to 44,10,27.2,68
2020 to 2022,England,Male,45 to 49,11,23.3,66
2020 to 2022,England,Male,50 to 54,12,19.6,63
2020 to 2022,England,Male,55 to 59,13,16.2,61
2020 to 2022,England,Male,60 to 64,14,13,58
2020 to 2022,England,Male,65 to 69,15,10.2,56
2020 to 2022,England,Male,70 to 74,16,7.7,52
2020 to 2022,England,Male,75 to 79,17,5.5,49
2020 to 2022,England,Male,80 to 84,18,3.6,44
2020 to 2022,England,Male,85 to 89,19,2.3,39
2020 to 2022,England,Male,90+,20,1.3,35
2020 to 2022,England,Female,<1,1,62.8,76
2020 to 2022,England,Female,01 to 04,2,62.1,76
2020 to 2022,England,Female,05 to 09,3,58.4,75
2020 to 2022,England,Female,10 to 14,4,53.8,74
2020 to 2022,England,Female,15 to 19,5,49.3,72
2020 to 2022,England,Female,20 to 24,6,44.9,71
2020 to 2022,England,Female,25 to 29,7,40.7,70
2020 to 2022,England,Female,30 to 34,8,36.5,68
2020 to 2022,England,Female,35 to 39,9,32.4,67
2020 to 2022,England,Female,40 to 44,10,28.4,65
2020 to 2022,England,Female,45 to 49,11,24.6,63
2020 to 2022,England,Female,50 to 54,12,21,61
2020 to 2022,England,Female,55 to 59,13,17.6,59
2020 to 2022,England,Female,60 to 64,14,14.4,57
2020 to 2022,England,Female,65 to 69,15,11.4,55
2020 to 2022,England,Female,70 to 74,16,8.7,52
2020 to 2022,England,Female,75 to 79,17,6.2,48
2020 to 2022,England,Female,80 to 84,18,4.1,43
2020 to 2022,England,Female,85 to 89,19,2.6,38
2020 to 2022,England,Female,90+,20,1.5,34
2021 to 2023,England,Male,<1,1,61.5,78
2021 to 2023,England,Male,01 to 04,2,60.9,78
2021 to 2023,England,Male,05 to 09,3,57.1,77
2021 to 2023,England,Male,10 to 14,4,52.5,76
2021 to 2023,England,Male,15 to 19,5,47.9,74
2021 to 2023,England,Male,20 to 24,6,43.5,73
2021 to 2023,England,Male,25 to 29,7,39.2,71
2021 to 2023,England,Male,30 to 34,8,34.9,70
2021 to 2023,England,Male,35 to 39,9,30.8,68
2021 to 2023,England,Male,40 to 44,10,26.8,66
2021 to 2023,England,Male,45 to 49,11,23,64
2021 to 2023,England,Male,50 to 54,12,19.4,62
2021 to 2023,England,Male,55 to 59,13,16,60
2021 to 2023,England,Male,60 to 64,14,12.9,57
