period,country,sex,age,agecode,hle,prop
2022 to 2024,Scotland,Male,80 to 84,18,3.5,44
2022 to 2024,Scotland,Male,85 to 89,19,2.3,40
2022 to 2024,Scotland,Male,90+,20,1.5,35
2022 to 2024,Scotland,Female,<1,1,59.4,73
2022 to 2024,Scotland,Female,01 to 04,2,58.7,73
2022 to 2024,Scotland,Female,05 to 09,3,55.1,72
2022 to 2024,Scotland,Female,10 to 14,4,50.6,71
2022 to 2024,Scotland,Female,15 to 19,5,46.2,70
2022 to 2024,Scotland,Female,20 to 24,6,41.9,68
2022 to 2024,Scotland,Female,25 to 29,7,37.8,67
2022 to 2024,Scotland,Female,30 to 34,8,33.8,65
2022 to 2024,Scotland,Female,35 to 39,9,29.9,64
2022 to 2024,Scotland,Female,40 to 44,10,26.2,62
2022 to 2024,Scotland,Female,45 to 49,11,22.6,60
2022 to 2024,Scotland,Female,50 to 54,12,19.2,59
2022 to 2024,Scotland,Female,55 to 59,13,16,57
2022 to 2024,Scotland,Female,60 to 64,14,13.1,55
2022 to 2024,Scotland,Female,65 to 69,15,10.4,52
2022 to 2024,Scotland,Female,70 to 74,16,7.9,50
2022 to 2024,Scotland,Female,75 to 79,17,5.6,46
2022 to 2024,Scotland,Female,80 to 84,18,3.8,41
2022 to 2024,Scotland,Female,85 to 89,19,2.4,37
2022 to 2024,Scotland,Female,90+,20,1.4,34
2011 to 2013,United Kingdom,Male,<1,1,62.7,79
2011 to 2013,United Kingdom,Male,01 to 04,2,62,79
2011 to 2013,United Kingdom,Male,05 to 09,3,58.3,78
2011 to 2013,United Kingdom,Male,10 to 14,4,53.6,77
2011 to 2013,United Kingdom,Male,15 to 19,5,48.9,76
2011 to 2013,United Kingdom,Male,20 to 24,6,44.3,74
2011 to 2013,United Kingdom,Male,25 to 29,7,39.8,73
2011 to 2013,United Kingdom,Male,30 to 34,8,35.4,71
2011 to 2013,United Kingdom,Male,35 to 39,9,31.1,69
2011 to 2013,United Kingdom,Male,40 to 44,10,27,67
2011 to 2013,United Kingdom,Male,45 to 49,11,23.1,65
2011 to 2013,United Kingdom,Male,50 to 54,12,19.3,62
2011 to 2013,United Kingdom,Male,55 to 59,13,15.8,59
2011 to 2013,United Kingdom,Male,60 to 64,14,12.6,56
2011 to 2013,United Kingdom,Male,65 to 69,15,9.8,53
2011 to 2013,United Kingdom,Male,70 to 74,16,7.3,50
2011 to 2013,United Kingdom,Male,75 to 79,17,5.2,46
2011 to 2013,United Kingdom,Male,80 to 84,18,3.4,42
2011 to 2013,United Kingdom,Male,85 to 89,19,2.2,37
2011 to 2013,United Kingdom,Male,90+,20,1.4,33
2011 to 2013,United Kingdom,Female,<1,1,63.7,77
2011 to 2013,United Kingdom,Female,01 to 04,2,63,77
2011 to 2013,United Kingdom,Female,05 to 09,3,59.3,76
2011 to 2013,United Kingdom,Female,10 to 14,4,54.6,75
2011 to 2013,United Kingdom,Female,15 to 19,5,49.9,73
2011 to 2013,United Kingdom,Female,20 to 24,6,45.4,72
2011 to 2013,United Kingdom,Female,25 to 29,7,40.9,70
2011 to 2013,United Kingdom,Female,30 to 34,8,36.5,68
2011 to 2013,United Kingdom,Female,35 to 39,9,32.2,67
2011 to 2013,United Kingdom,Female,40 to 44,10,28.1,64
2011 to 2013,United Kingdom,Female,45 to 49,11,24.2,62
2011 to 2013,United Kingdom,Female,50 to 54,12,20.4,60
2011 to 2013,United Kingdom,Female,55 to 59,13,16.9,57
2011 to 2013,United Kingdom,Female,60 to 64,14,13.7,55
2011 to 2013,United Kingdom,Female,65 to 69,15,10.7,52
2011 to 2013,United Kingdom,Female,70 to 74,16,8.1,48
2011 to 2013,United Kingdom,Female,75 to 79,17,5.8,45
2011 to 2013,United Kingdom,Female,80 to 84,18,3.9,41
2011 to 2013,United Kingdom,Female,85 to 89,19,2.5,36
2011 to 2013,United Kingdom,Female,90+,20,1.5,31
2012 to 2014,United Kingdom,Male,<1,1,62.9,79
2012 to 2014,United Kingdom,Male,01 to 04,2,62.2,79
2012 to 2014,United Kingdom,Male,05 to 09,3,58.5,78
2012 to 2014,United Kingdom,Male,10 to 14,4,53.7,77
2012 to 2014,United Kingdom,Male,15 to 19,5,49.1,76
2012 to 2014,United Kingdom,Male,20 to 24,6,44.5,75
2012 to 2014,United Kingdom,Male,25 to 29,7,40,73
2012 to 2014,United Kingdom,Male,30 to 34,8,35.6,71
2012 to 2014,United Kingdom,Male,35 to 39,9,31.3,69
2012 to 2014,United Kingdom,Male,40 to 44,10,27.2,67
2012 to 2014,United Kingdom,Male,45 to 49,11,23.2,65
2012 to 2014,United Kingdom,Male,50 to 54,12,19.5,62
2012 to 2014,United Kingdom,Male,55 to 59,13,16,60
2012 to 2014,United Kingdom,Male,60 to 64,14,12.8,57
2012 to 2014,United Kingdom,Male,65 to 69,15,10,54
2012 to 2014,United Kingdom,Male,70 to 74,16,7.4,50
2012 to 2014,United Kingdom,Male,75 to 79,17,5.3,47
2012 to 2014,United Kingdom,Male,80 to 84,18,3.5,42
2012 to 2014,United Kingdom,Male,85 to 89,19,2.3,38
2012 to 2014,United Kingdom,Male,90+,20,1.4,33
2012 to 2014,United Kingdom,Female,<1,1,63.7,77
2012 to 2014,United Kingdom,Female,01 to 04,2,63,77
2012 to 2014,United Kingdom,Female,05 to 09,3,59.3,76
2012 to 2014,United Kingdom,Female,10 to 14,4,54.6,75
2012 to 2014,United Kingdom,Female,15 to 19,5,50,73
2012 to 2014,United Kingdom,Female,20 to 24,6,45.5,72
2012 to 2014,United Kingdom,Female,25 to 29,7,41,70
2012 to 2014,United Kingdom,Female,30 to 34,8,36.6,69
2012 to 2014,United Kingdom,Female,35 to 39,9,32.4,67
2012 to 2014,United Kingdom,Female,40 to 44,10,28.3,65
2012 to 2014,United Kingdom,Female,45 to 49,11,24.3,62
2012 to 2014,United Kingdom,Female,50 to 54,12,20.6,60
2012 to 2014,United Kingdom,Female,55 to 59,13,17.1,58
2012 to 2014,United Kingdom,Female,60 to 64,14,13.8,55
2012 to 2014,United Kingdom,Female,65 to 69,15,10.9,52
2012 to 2014,United Kingdom,Female,70 to 74,16,8.2,49
2012 to 2014,United Kingdom,Female,75 to 79,17,5.9,45
2012 to 2014,United Kingdom,Female,80 to 84,18,4,41
2012 to 2014,United Kingdom,Female,85 to 89,19,2.6,37
2012 to 2014,United Kingdom,Female,90+,20,1.6,32
2013 to 2015,United Kingdom,Male,<1,1,63,80
2013 to 2015,United Kingdom,Male,01 to 04,2,62.3,79
2013 to 2015,United Kingdom,Male,05 to 09,3,58.5,79
2013 to 2015,United Kingdom,Male,10 to 14,4,53.8,77
2013 to 2015,United Kingdom,Male,15 to 19,5,49.2,76
2013 to 2015,United Kingdom,Male,20 to 24,6,44.6,75
2013 to 2015,United Kingdom,Male,25 to 29,7,40.1,73
2013 to 2015,United Kingdom,Male,30 to 34,8,35.7,71
2013 to 2015,United Kingdom,Male,35 to 39,9,31.4,70
2013 to 2015,United Kingdom,Male,40 to 44,10,27.3,68
2013 to 2015,United Kingdom,Male,45 to 49,11,23.4,65
2013 to 2015,United Kingdom,Male,50 to 54,12,19.6,63
2013 to 2015,United Kingdom,Male,55 to 59,13,16.1,60
2013 to 2015,United Kingdom,Male,60 to 64,14,12.9,57
2013 to 2015,United Kingdom,Male,65 to 69,15,10.1,55
2013 to 2015,United Kingdom,Male,70 to 74,16,7.5,51
2013 to 2015,United Kingdom,Male,75 to 79,17,5.3,47
2013 to 2015,United Kingdom,Male,80 to 84,18,3.6,43
2013 to 2015,United Kingdom,Male,85 to 89,19,2.3,39
2013 to 2015,United Kingdom,Male,90+,20,1.4,34
2013 to 2015,United Kingdom,Female,<1,1,63.9,77
2013 to 2015,United Kingdom,Female,01 to 04,2,63.2,77
2013 to 2015,United Kingdom,Female,05 to 09,3,59.5,76
2013 to 2015,United Kingdom,Female,10 to 14,4,54.8,75
2013 to 2015,United Kingdom,Female,15 to 19,5,50.2,74
2013 to 2015,United Kingdom,Female,20 to 24,6,45.6,72
2013 to 2015,United Kingdom,Female,25 to 29,7,41.2,71
2013 to 2015,United Kingdom,Female,30 to 34,8,36.8,69
2013 to 2015,United Kingdom,Female,35 to 39,9,32.6,67
2013 to 2015,United Kingdom,Female,40 to 44,10,28.5,65
2013 to 2015,United Kingdom,Female,45 to 49,11,24.5,63
2013 to 2015,United Kingdom,Female,50 to 54,12,20.8,61
2013 to 2015,United Kingdom,Female,55 to 59,13,17.3,58
2013 to 2015,United Kingdom,Female,60 to 64,14,14,56
2013 to 2015,United Kingdom,Female,65 to 69,15,11,53
2013 to 2015,United Kingdom,Female,70 to 74,16,8.3,49
2013 to 2015,United Kingdom,Female,75 to 79,17,6,46
2013 to 2015,United Kingdom,Female,80 to 84,18,4,42
2013 to 2015,United Kingdom,Female,85 to 89,19,2.6,38
2013 to 2015,United Kingdom,Female,90+,20,1.6,33
2014 to 2016,United Kingdom,Male,<1,1,63,80
2014 to 2016,United Kingdom,Male,01 to 04,2,62.3,79
2014 to 2016,United Kingdom,Male,05 to 09,3,58.6,79
2014 to 2016,United Kingdom,Male,10 to 14,4,53.9,77
2014 to 2016,United Kingdom,Male,15 to 19,5,49.2,76
2014 to 2016,United Kingdom,Male,20 to 24,6,44.6,75
2014 to 2016,United Kingdom,Male,25 to 29,7,40.2,73
2014 to 2016,United Kingdom,Male,30 to 34,8,35.8,72
2014 to 2016,United Kingdom,Male,35 to 39,9,31.5,70
2014 to 2016,United Kingdom,Male,40 to 44,10,27.4,68
2014 to 2016,United Kingdom,Male,45 to 49,11,23.5,65
2014 to 2016,United Kingdom,Male,50 to 54,12,19.7,63
2014 to 2016,United Kingdom,Male,55 to 59,13,16.2,60
2014 to 2016,United Kingdom,Male,60 to 64,14,13,58
2014 to 2016,United Kingdom,Male,65 to 69,15,10.2,55
2014 to 2016,United Kingdom,Male,70 to 74,16,7.6,52
2014 to 2016,United Kingdom,Male,75 to 79,17,5.4,48
2014 to 2016,United Kingdom,Male,80 to 84,18,3.6,44
2014 to 2016,United Kingdom,Male,85 to 89,19,2.3,39
2014 to 2016,United Kingdom,Male,90+,20,1.4,34
2014 to 2016,United Kingdom,Female,<1,1,63.8,77
2014 to 2016,United Kingdom,Female,01 to 04,2,63.1,77
2014 to 2016,United Kingdom,Female,05 to 09,3,59.4,76
2014 to 2016,United Kingdom,Female,10 to 14,4,54.8,75
2014 to 2016,United Kingdom,Female,15 to 19,5,50.2,74
2014 to 2016,United Kingdom,Female,20 to 24,6,45.7,72
2014 to 2016,United Kingdom,Female,25 to 29,7,41.2,71
2014 to 2016,United Kingdom,Female,30 to 34,8,36.9,69
2014 to 2016,United Kingdom,Female,35 to 39,9,32.7,67
2014 to 2016,United Kingdom,Female,40 to 44,10,28.6,65
2014 to 2016,United Kingdom,Female,45 to 49,11,24.6,63
2014 to 2016,United Kingdom,Female,50 to 54,12,20.9,61
2014 to 2016,United Kingdom,Female,55 to 59,13,17.4,59
2014 to 2016,United Kingdom,Female,60 to 64,14,14.2,56
2014 to 2016,United Kingdom,Female,65 to 69,15,11.2,53
2014 to 2016,United Kingdom,Female,70 to 74,16,8.4,50
2014 to 2016,United Kingdom,Female,75 to 79,17,6.1,46
2014 to 2016,United Kingdom,Female,80 to 84,18,4.1,43
2014 to 2016,United Kingdom,Female,85 to 89,19,2.6,38
2014 to 2016,United Kingdom,Female,90+,20,1.6,34
2015 to 2017,United Kingdom,Male,<1,1,63.1,80
2015 to 2017,United Kingdom,Male,01 to 04,2,62.4,79
2015 to 2017,United Kingdom,Male,05 to 09,3,58.6,79
2015 to 2017,United Kingdom,Male,10 to 14,4,53.9,78
2015 to 2017,United Kingdom,Male,15 to 19,5,49.3,76
2015 to 2017,United Kingdom,Male,20 to 24,6,44.7,75
2015 to 2017,United Kingdom,Male,25 to 29,7,40.3,73
2015 to 2017,United Kingdom,Male,30 to 34,8,35.9,72
2015 to 2017,United Kingdom,Male,35 to 39,9,31.6,70
2015 to 2017,United Kingdom,Male,40 to 44,10,27.5,68
2015 to 2017,United Kingdom,Male,45 to 49,11,23.6,66
2015 to 2017,United Kingdom,Male,50 to 54,12,19.8,63
2015 to 2017,United Kingdom,Male,55 to 59,13,16.4,61
2015 to 2017,United Kingdom,Male,60 to 64,14,13.1,58
2015 to 2017,United Kingdom,Male,65 to 69,15,10.3,55
2015 to 2017,United Kingdom,Male,70 to 74,16,7.7,52
2015 to 2017,United Kingdom,Male,75 to 79,17,5.5,48
2015 to 2017,United Kingdom,Male,80 to 84,18,3.7,44
2015 to 2017,United Kingdom,Male,85 to 89,19,2.4,40
2015 to 2017,United Kingdom,Male,90+,20,1.4,35
2015 to 2017,United Kingdom,Female,<1,1,63.8,77
2015 to 2017,United Kingdom,Female,01 to 04,2,63,77
2015 to 2017,United Kingdom,Female,05 to 09,3,59.3,76
2015 to 2017,United Kingdom,Female,10 to 14,4,54.7,75
2015 to 2017,United Kingdom,Female,15 to 19,5,50.1,73
2015 to 2017,United Kingdom,Female,20 to 24,6,45.6,72
2015 to 2017,United Kingdom,Female,25 to 29,7,41.2,71
2015 to 2017,United Kingdom,Female,30 to 34,8,36.9,69
2015 to 2017,United Kingdom,Female,35 to 39,9,32.6,67
2015 to 2017,United Kingdom,Female,40 to 44,10,28.6,65
2015 to 2017,United Kingdom,Female,45 to 49,11,24.7,63
2015 to 2017,United Kingdom,Female,50 to 54,12,20.9,61
2015 to 2017,United Kingdom,Female,55 to 59,13,17.4,59
2015 to 2017,United Kingdom,Female,60 to 64,14,14.2,56
2015 to 2017,United Kingdom,Female,65 to 69,15,11.2,54
2015 to 2017,United Kingdom,Female,70 to 74,16,8.5,50
2015 to 2017,United Kingdom,Female,75 to 79,17,6.1,47
2015 to 2017,United Kingdom,Female,80 to 84,18,4.1,43
2015 to 2017,United Kingdom,Female,85 to 89,19,2.6,38
2015 to 2017,United Kingdom,Female,90+,20,1.6,34
2016 to 2018,United Kingdom,Male,<1,1,63,80
2016 to 2018,United Kingdom,Male,01 to 04,2,62.3,79
2016 to 2018,United Kingdom,Male,05 to 09,3,58.6,79
2016 to 2018,United Kingdom,Male,10 to 14,4,53.9,77
2016 to 2018,United Kingdom,Male,15 to 19,5,49.3,76
2016 to 2018,United Kingdom,Male,20 to 24,6,44.7,75
2016 to 2018,United Kingdom,Male,25 to 29,7,40.3,73
2016 to 2018,United Kingdom,Male,30 to 34,8,35.9,72
2016 to 2018,United Kingdom,Male,35 to 39,9,31.7,70
2016 to 2018,United Kingdom,Male,40 to 44,10,27.6,68
2016 to 2018,United Kingdom,Male,45 to 49,11,23.7,66
2016 to 2018,United Kingdom,Male,50 to 54,12,19.9,64
2016 to 2018,United Kingdom,Male,55 to 59,13,16.4,61
2016 to 2018,United Kingdom,Male,60 to 64,14,13.2,58
2016 to 2018,United Kingdom,Male,65 to 69,15,10.4,56
2016 to 2018,United Kingdom,Male,70 to 74,16,7.8,52
2016 to 2018,United Kingdom,Male,75 to 79,17,5.6,49
2016 to 2018,United Kingdom,Male,80 to 84,18,3.8,45
2016 to 2018,United Kingdom,Male,85 to 89,19,2.4,40
2016 to 2018,United Kingdom,Male,90+,20,1.5,35
2016 to 2018,United Kingdom,Female,<1,1,63.8,77
2016 to 2018,United Kingdom,Female,01 to 04,2,63.1,77
2016 to 2018,United Kingdom,Female,05 to 09,3,59.4,76
2016 to 2018,United Kingdom,Female,10 to 14,4,54.7,75
2016 to 2018,United Kingdom,Female,15 to 19,5,50.1,73
2016 to 2018,United Kingdom,Female,20 to 24,6,45.7,72
2016 to 2018,United Kingdom,Female,25 to 29,7,41.3,71
2016 to 2018,United Kingdom,Female,30 to 34,8,37,69
2016 to 2018,United Kingdom,Female,35 to 39,9,32.8,67
2016 to 2018,United Kingdom,Female,40 to 44,10,28.7,66
2016 to 2018,United Kingdom,Female,45 to 49,11,24.8,64
2016 to 2018,United Kingdom,Female,50 to 54,12,21.1,62
2016 to 2018,United Kingdom,Female,55 to 59,13,17.6,59
2016 to 2018,United Kingdom,Female,60 to 64,14,14.3,57
2016 to 2018,United Kingdom,Female,65 to 69,15,11.3,54
2016 to 2018,United Kingdom,Female,70 to 74,16,8.6,51
2016 to 2018,United Kingdom,Female,75 to 79,17,6.1,47
2016 to 2018,United Kingdom,Female,80 to 84,18,4.1,43
2016 to 2018,United Kingdom,Female,85 to 89,19,2.6,39
2016 to 2018,United Kingdom,Female,90+,20,1.6,35
2017 to 2019,United Kingdom,Male,<1,1,62.9,79
2017 to 2019,United Kingdom,Male,01 to 04,2,62.2,79
2017 to 2019,United Kingdom,Male,05 to 09,3,58.5,78
2017 to 2019,United Kingdom,Male,10 to 14,4,53.8,77
2017 to 2019,United Kingdom,Male,15 to 19,5,49.2,76
2017 to 2019,United Kingdom,Male,20 to 24,6,44.6,75
2017 to 2019,United Kingdom,Male,25 to 29,7,40.2,73
2017 to 2019,United Kingdom,Male,30 to 34,8,35.9,71
2017 to 2019,United Kingdom,Male,35 to 39,9,31.7,70
2017 to 2019,United Kingdom,Male,40 to 44,10,27.6,68
2017 to 2019,United Kingdom,Male,45 to 49,11,23.7,66
2017 to 2019,United Kingdom,Male,50 to 54,12,20,63
2017 to 2019,United Kingdom,Male,55 to 59,13,16.5,61
2017 to 2019,United Kingdom,Male,60 to 64,14,13.3,58
2017 to 2019,United Kingdom,Male,65 to 69,15,10.4,56
2017 to 2019,United Kingdom,Male,70 to 74,16,7.9,52
2017 to 2019,United Kingdom,Male,75 to 79,17,5.6,49
2017 to 2019,United Kingdom,Male,80 to 84,18,3.8,45
2017 to 2019,United Kingdom,Male,85 to 89,19,2.4,40
2017 to 2019,United Kingdom,Male,90+,20,1.5,36
2017 to 2019,United Kingdom,Female,<1,1,63.5,76
2017 to 2019,United Kingdom,Female,01 to 04,2,62.7,76
2017 to 2019,United Kingdom,Female,05 to 09,3,59,75
2017 to 2019,United Kingdom,Female,10 to 14,4,54.4,74
2017 to 2019,United Kingdom,Female,15 to 19,5,49.8,73
2017 to 2019,United Kingdom,Female,20 to 24,6,45.4,72
2017 to 2019,United Kingdom,Female,25 to 29,7,41,70
2017 to 2019,United Kingdom,Female,30 to 34,8,36.8,69
2017 to 2019,United Kingdom,Female,35 to 39,9,32.6,67
2017 to 2019,United Kingdom,Female,40 to 44,10,28.6,65
2017 to 2019,United Kingdom,Female,45 to 49,11,24.7,63
2017 to 2019,United Kingdom,Female,50 to 54,12,21,61
2017 to 2019,United Kingdom,Female,55 to 59,13,17.5,59
2017 to 2019,United Kingdom,Female,60 to 64,14,14.3,56
2017 to 2019,United Kingdom,Female,65 to 69,15,11.3,54
2017 to 2019,United Kingdom,Female,70 to 74,16,8.6,51
2017 to 2019,United Kingdom,Female,75 to 79,17,6.1,47
2017 to 2019,United Kingdom,Female,80 to 84,18,4.1,42
2017 to 2019,United Kingdom,Female,85 to 89,19,2.6,38
2017 to 2019,United Kingdom,Female,90+,20,1.6,34
2018 to 2020,United Kingdom,Male,<1,1,62.8,79
2018 to 2020,United Kingdom,Male,01 to 04,2,62.1,79
2018 to 2020,United Kingdom,Male,05 to 09,3,58.3,78
2018 to 2020,United Kingdom,Male,10 to 14,4,53.7,77
2018 to 2020,United Kingdom,Male,15 to 19,5,49,76
2018 to 2020,United Kingdom,Male,20 to 24,6,44.5,75
2018 to 2020,United Kingdom,Male,25 to 29,7,40.1,73
2018 to 2020,United Kingdom,Male,30 to 34,8,35.8,72
2018 to 2020,United Kingdom,Male,35 to 39,9,31.6,70
2018 to 2020,United Kingdom,Male,40 to 44,10,27.5,68
2018 to 2020,United Kingdom,Male,45 to 49,11,23.6,66
2018 to 2020,United Kingdom,Male,50 to 54,12,19.9,64
2018 to 2020,United Kingdom,Male,55 to 59,13,16.4,61
2018 to 2020,United Kingdom,Male,60 to 64,14,13.2,59
2018 to 2020,United Kingdom,Male,65 to 69,15,10.4,56
2018 to 2020,United Kingdom,Male,70 to 74,16,7.8,53
2018 to 2020,United Kingdom,Male,75 to 79,17,5.6,49
2018 to 2020,United Kingdom,Male,80 to 84,18,3.7,45
2018 to 2020,United Kingdom,Male,85 to 89,19,2.4,41
2018 to 2020,United Kingdom,Male,90+,20,1.4,36
2018 to 2020,United Kingdom,Female,<1,1,63.7,77
2018 to 2020,United Kingdom,Female,01 to 04,2,63,77
2018 to 2020,United Kingdom,Female,05 to 09,3,59.3,76
2018 to 2020,United Kingdom,Female,10 to 14,4,54.7,75
2018 to 2020,United Kingdom,Female,15 to 19,5,50.1,74
2018 to 2020,United Kingdom,Female,20 to 24,6,45.7,72
2018 to 2020,United Kingdom,Female,25 to 29,7,41.4,71
2018 to 2020,United Kingdom,Female,30 to 34,8,37.1,70
2018 to 2020,United Kingdom,Female,35 to 39,9,32.9,68
2018 to 2020,United Kingdom,Female,40 to 44,10,28.9,66
2018 to 2020,United Kingdom,Female,45 to 49,11,25,64
2018 to 2020,United Kingdom,Female,50 to 54,12,21.3,62
2018 to 2020,United Kingdom,Female,55 to 59,13,17.9,60
2018 to 2020,United Kingdom,Female,60 to 64,14,14.6,58
2018 to 2020,United Kingdom,Female,65 to 69,15,11.6,56
2018 to 2020,United Kingdom,Female,70 to 74,16,8.8,52
2018 to 2020,United Kingdom,Female,75 to 79,17,6.3,48
2018 to 2020,United Kingdom,Female,80 to 84,18,4.2,44
2018 to 2020,United Kingdom,Female,85 to 89,19,2.6,39
2018 to 2020,United Kingdom,Female,90+,20,1.6,36
2019 to 2021,United Kingdom,Male,<1,1,62.4,79
2019 to 2021,United Kingdom,Male,01 to 04,2,61.8,79
2019 to 2021,United Kingdom,Male,05 to 09,3,58,78
2019 to 2021,United Kingdom,Male,10 to 14,4,53.4,77
2019 to 2021,United Kingdom,Male,15 to 19,5,48.7,76
2019 to 2021,United Kingdom,Male,20 to 24,6,44.2,75
2019 to 2021,United Kingdom,Male,25 to 29,7,39.9,73
2019 to 2021,United Kingdom,Male,30 to 34,8,35.6,72
2019 to 2021,United Kingdom,Male,35 to 39,9,31.4,70
2019 to 2021,United Kingdom,Male,40 to 44,10,27.3,68
2019 to 2021,United Kingdom,Male,45 to 49,11,23.4,66
2019 to 2021,United Kingdom,Male,50 to 54,12,19.8,64
2019 to 2021,United Kingdom,Male,55 to 59,13,16.3,61
2019 to 2021,United Kingdom,Male,60 to 64,14,13.2,59
2019 to 2021,United Kingdom,Male,65 to 69,15,10.3,56
2019 to 2021,United Kingdom,Male,70 to 74,16,7.8,53
2019 to 2021,United Kingdom,Male,75 to 79,17,5.5,50
2019 to 2021,United Kingdom,Male,80 to 84,18,3.7,45
2019 to 2021,United Kingdom,Male,85 to 89,19,2.3,41
2019 to 2021,United Kingdom,Male,90+,20,1.4,36
2019 to 2021,United Kingdom,Female,<1,1,63.4,77
2019 to 2021,United Kingdom,Female,01 to 04,2,62.7,76
2019 to 2021,United Kingdom,Female,05 to 09,3,59,76
2019 to 2021,United Kingdom,Female,10 to 14,4,54.4,74
2019 to 2021,United Kingdom,Female,15 to 19,5,49.8,73
2019 to 2021,United Kingdom,Female,20 to 24,6,45.4,72
2019 to 2021,United Kingdom,Female,25 to 29,7,41.1,71
2019 to 2021,United Kingdom,Female,30 to 34,8,36.9,69
2019 to 2021,United Kingdom,Female,35 to 39,9,32.8,68
2019 to 2021,United Kingdom,Female,40 to 44,10,28.8,66
2019 to 2021,United Kingdom,Female,45 to 49,11,24.9,64
2019 to 2021,United Kingdom,Female,50 to 54,12,21.3,62
2019 to 2021,United Kingdom,Female,55 to 59,13,17.8,60
2019 to 2021,United Kingdom,Female,60 to 64,14,14.6,58
2019 to 2021,United Kingdom,Female,65 to 69,15,11.6,56
2019 to 2021,United Kingdom,Female,70 to 74,16,8.8,53
2019 to 2021,United Kingdom,Female,75 to 79,17,6.3,49
2019 to 2021,United Kingdom,Female,80 to 84,18,4.2,44
2019 to 2021,United Kingdom,Female,85 to 89,19,2.7,39
2019 to 2021,United Kingdom,Female,90+,20,1.6,36
2020 to 2022,United Kingdom,Male,<1,1,62,79
2020 to 2022,United Kingdom,Male,01 to 04,2,61.3,79
2020 to 2022,United Kingdom,Male,05 to 09,3,57.6,78
2020 to 2022,United Kingdom,Male,10 to 14,4,52.9,77
2020 to 2022,United Kingdom,Male,15 to 19,5,48.3,75
2020 to 2022,United Kingdom,Male,20 to 24,6,43.8,74
2020 to 2022,United Kingdom,Male,25 to 29,7,39.4,73
2020 to 2022,United Kingdom,Male,30 to 34,8,35.2,71
2020 to 2022,United Kingdom,Male,35 to 39,9,31,69
2020 to 2022,United Kingdom,Male,40 to 44,10,27,67
2020 to 2022,United Kingdom,Male,45 to 49,11,23.1,65
2020 to 2022,United Kingdom,Male,50 to 54,12,19.5,63
2020 to 2022,United Kingdom,Male,55 to 59,13,16.1,61
2020 to 2022,United Kingdom,Male,60 to 64,14,12.9,58
2020 to 2022,United Kingdom,Male,65 to 69,15,10.1,55
2020 to 2022,United Kingdom,Male,70 to 74,16,7.6,52
2020 to 2022,United Kingdom,Male,75 to 79,17,5.4,49
2020 to 2022,United Kingdom,Male,80 to 84,18,3.6,44
2020 to 2022,United Kingdom,Male,85 to 89,19,2.3,40
2020 to 2022,United Kingdom,Male,90+,20,1.4,35
2020 to 2022,United Kingdom,Female,<1,1,62.4,76
2020 to 2022,United Kingdom,Female,01 to 04,2,61.7,75
2020 to 2022,United Kingdom,Female,05 to 09,3,58,75
2020 to 2022,United Kingdom,Female,10 to 14,4,53.5,73
2020 to 2022,United Kingdom,Female,15 to 19,5,49,72
2020 to 2022,United Kingdom,Female,20 to 24,6,44.6,71
2020 to 2022,United Kingdom,Female,25 to 29,7,40.4,70
2020 to 2022,United Kingdom,Female,30 to 34,8,36.2,68
2020 to 2022,United Kingdom,Female,35 to 39,9,32.1,67
2020 to 2022,United Kingdom,Female,40 to 44,10,28.2,65
2020 to 2022,United Kingdom,Female,45 to 49,11,24.4,63
2020 to 2022,United Kingdom,Female,50 to 54,12,20.8,61
2020 to 2022,United Kingdom,Female,55 to 59,13,17.4,59
2020 to 2022,United Kingdom,Female,60 to 64,14,14.2,57
2020 to 2022,United Kingdom,Female,65 to 69,15,11.3,55
2020 to 2022,United Kingdom,Female,70 to 74,16,8.6,52
2020 to 2022,United Kingdom,Female,75 to 79,17,6.1,48
2020 to 2022,United Kingdom,Female,80 to 84,18,4.1,43
2020 to 2022,United Kingdom,Female,85 to 89,19,2.6,38
2020 to 2022,United Kingdom,Female,90+,20,1.5,35
2021 to 2023,United Kingdom,Male,<1,1,61.3,78
2021 to 2023,United Kingdom,Male,01 to 04,2,60.6,78
2021 to 2023,United Kingdom,Male,05 to 09,3,56.9,77
2021 to 2023,United Kingdom,Male,10 to 14,4,52.3,75
2021 to 2023,United Kingdom,Male,15 to 19,5,47.7,74
2021 to 2023,United Kingdom,Male,20 to 24,6,43.3,73
2021 to 2023,United Kingdom,Male,25 to 29,7,38.9,71
2021 to 2023,United Kingdom,Male,30 to 34,8,34.7,70
2021 to 2023,United Kingdom,Male,35 to 39,9,30.6,68
2021 to 2023,United Kingdom,Male,40 to 44,10,26.6,66
2021 to 2023,United Kingdom,Male,45 to 49,11,22.8,64
2021 to 2023,United Kingdom,Male,50 to 54,12,19.2,62
2021 to 2023,United Kingdom,Male,55 to 59,13,15.9,59
2021 to 2023,United Kingdom,Male,60 to 64,14,12.8,57
2021 to 2023,United Kingdom,Male,65 to 69,15,10.1,54
2021 to 2023,United Kingdom,Male,70 to 74,16,7.6,51
2021 to 2023,United Kingdom,Male,75 to 79,17,5.4,48
2021 to 2023,United Kingdom,Male,80 to 84,18,3.6,44
2021 to 2023,United Kingdom,Male,85 to 89,19,2.3,39
2021 to 2023,United Kingdom,Male,90+,20,1.4,34
2021 to 2023,United Kingdom,Female,<1,1,61.6,74
